name,value,year,lastValue,rank
10 Социальная защита,173370978.76,2002.8,203017894.82,87
03 Общественный порядок и безопасность,219060575.79,2002.8,203873199.07999998,88
02 Оборона,261882952.80999997,2002.8,237142774.71999997,89
01 Государственные службы общего назначения,1130146924.1699998,2002.8,1078950888.7399998,90
05 Охрана окружающей среды,11373707.0,2002.9,11231969.63,91
"08 Отдых, культура и религия",26831272.9,2002.9,26164214.64,92
07 Здравоохранение,39475431.1,2002.9,38689652.44,93
06 Жилищные и коммунальные услуги,71755990.3,2002.9,74920078.92999999,94
04 Экономические вопросы,93006133.30000001,2002.9,92113221.16000001,95
09 Образование,98618133.50000001,2002.9,96736325.71000001,96
10 Социальная защита,143724062.7,2002.9,173370978.76,97
03 Общественный порядок и безопасность,234247952.5,2002.9,219060575.79,98
02 Оборона,286623130.9,2002.9,261882952.80999997,99
01 Государственные службы общего назначения,1181342959.6,2002.9,1130146924.1699998,100
05 Охрана окружающей среды,11502329.25,2003.0,11373707.0,101
"08 Отдых, культура и религия",26937954.759999998,2003.0,26831272.9,102
07 Здравоохранение,40453691.24,2003.0,39475431.1,103
06 Жилищные и коммунальные услуги,73234910.75999999,2003.0,71755990.3,104
04 Экономические вопросы,94666171.22000001,2003.0,93006133.30000001,105
09 Образование,100682199.54000002,2003.0,98618133.50000001,106
10 Социальная защита,145190859.82999998,2003.0,143724062.7,107
03 Общественный порядок и безопасность,241071803.29,2003.0,234247952.5,108
02 Оборона,291181476.71999997,2003.0,286623130.9,109
01 Государственные службы общего назначения,1191619332.75,2003.0,1181342959.6,110
05 Охрана окружающей среды,11630951.5,2003.1,11502329.25,111
"08 Отдых, культура и религия",27044636.619999997,2003.1,26937954.759999998,112
07 Здравоохранение,41431951.38,2003.1,40453691.24,113
06 Жилищные и коммунальные услуги,74713831.22,2003.1,73234910.75999999,114
04 Экономические вопросы,96326209.14000002,2003.1,94666171.22000001,115
09 Образование,102746265.58000001,2003.1,100682199.54000002,116
10 Социальная защита,146657656.95999998,2003.1,145190859.82999998,117
03 Общественный порядок и безопасность,247895654.07999998,2003.1,241071803.29,118
02 Оборона,295739822.53999996,2003.1,291181476.71999997,119
01 Государственные службы общего назначения,1201895705.8999999,2003.1,1191619332.75,120
05 Охрана окружающей среды,11759573.75,2003.2,11630951.5,121
"08 Отдых, культура и религия",27151318.48,2003.2,27044636.619999997,122
07 Здравоохранение,42410211.52,2003.2,41431951.38,123
06 Жилищные и коммунальные услуги,76192751.67999999,2003.2,74713831.22,124
04 Экономические вопросы,97986247.06,2003.2,96326209.14000002,125
09 Образование,104810331.62,2003.2,102746265.58000001,126
10 Социальная защита,148124454.09,2003.2,146657656.95999998,127
03 Общественный порядок и безопасность,254719504.87,2003.2,247895654.07999998,128
